#
#                  objname | hl_names(pgc)                                                                                                                                                                                           |       pgc |   modz |   mod0 |     al2000 |     de2000 |        v |      e_v |     vrad |   e_vrad |     vvir |     pa |   incl |   logr25 | e_logr25 |  type |  bar |  ring |  multiple | compactness |     t |   e_t |   logd25 | e_logd25 |  vmaxg | e_vmaxg|   vrot | e_vrot |    m21 |  e_m21 |   mfir |     ag |    btc |   ubtc |   bvtc |    itc |
#
  NGC2403                 | UGC03918,PGC021396,NGC2403,MCG+11-10-007,LGG176:[G93]006,KIG0197,IRAS07321+6543,CGCG310-003,CGCG309-040,2MASXJ07365139+6536091                                                                                                                                   |     21396 |    NaN |  27.53 |    7.61428 |   65.60242 |      141 |        9 |      130 |        3 |      370 |  126.3 |   61.3 |     0.30 |     0.04 | SABc  | B    |       |           |             |   6.0 |   0.3 |     2.30 |     0.02 | 105.49 |   2.25 | 120.25 |   2.63 |  10.22 |   0.15 |   8.62 |   0.17 |   8.13 |    NaN |   0.37 |    NaN |
  NGC3198                 | UGC05572,SDSSJ101954.92+453259.1,SDSSJ101954.92+453259.0,PGC030197,NGC3198,MCG+08-19-020,IRAS10168+4548,CGCG240-030,2MIG1421,2MASXJ10195499+4532588                                                                                                              |     30197 |  30.50 |  30.73 |   10.33192 |   45.54972 |      662 |        2 |      661 |        2 |      850 |   30.3 |   77.8 |     0.55 |     0.03 | Sc    | B    | R     |           |             |   5.2 |   0.6 |     1.81 |     0.02 | 134.34 |   2.84 | 137.42 |   2.92 |  12.17 |   0.12 |  10.91 |   0.05 |   9.94 |  -0.12 |   0.42 |   9.56 |
  UGC05720                | [RC2]A1029+54,UGC05720,SDSSJ103231.87+542403.7,SDSSJ103231.86+542403.7,SBS1029+546,PGC031141,MRK0033,MCG+09-17-070,IRAS10293+5439,HARO2,CGCG266-055,ARP233,2MASXJ10323195+5424035                                                                                |     31141 |  31.92 |    NaN |   10.54219 |   54.40104 |     1441 |        9 |     1453 |        4 |     1663 |  129.3 |   46.7 |     0.12 |     0.03 | I     |      |       |           |             |   9.8 |   1.3 |     1.06 |     0.05 |  57.39 |   3.29 |  78.81 |   4.63 |  15.82 |   0.21 |    NaN |   0.05 |  13.01 |    NaN |    NaN |  12.88 |
  NGC3351                 | UGC05850,SDSSJ104357.69+114213.6,PGC032007,NGC3351,MESSIER095,MCG+02-28-001,LGG217:[G93]002,LEO_GROUP:[FS90]007,IRAS10413+1158,HIPASSJ1044+11,CGCG066-004,ALFALFA5-309,AGC005850,2MASXJ10435773+1142129                                                          |     32007 |  30.50 |  29.98 |   10.73269 |   11.70368 |      778 |        1 |      778 |        2 |      826 |   10.7 |   54.6 |     0.21 |     0.04 | Sb    | B    | R     |           |             |   3.1 |   0.4 |     1.86 |     0.02 | 122.78 |   3.02 | 150.55 |   3.85 |  13.50 |   0.10 |   9.99 |   0.12 |  10.14 |   0.12 |   0.73 |   8.97 |
  NGC3521                 | UGC06150,PGC033550,NGC3521,MRC1103+002,MCG+00-28-030,KIG0461,IRAS11032+0014,HIPASSJ1105-00,CGCG010-074,AGC006150,2MASXJ11054859-0002092                                                                                                                          |     33550 |  30.40 |  30.47 |   11.09683 |   -0.03578 |      801 |        3 |      801 |        2 |      799 |  162.2 |   60.0 |     0.27 |     0.03 | SABb  | B    |       |           |             |   4.0 |   0.2 |     1.92 |     0.02 | 212.20 |   3.88 | 244.96 |   4.61 |  11.88 |   0.10 |   8.81 |   0.25 |   9.21 |   0.13 |   0.70 |   7.72 |
  NGC3773                 | UGC06605,SDSSJ113813.07+120644.4,SDSSJ113813.06+120644.4,SDSSJ113812.91+120643.6,SDSSJ113812.90+120643.6,SDSSJ113812.60+120641.3,PGC036043,NGC3773,MRK0743,MCG+02-30-005,KUG1135+123,IRAS11356+1223,CGCG068-014,AGC006605,ADBSJ113816+1206,2MASXJ11381296+1206429|     36043 |  30.95 |    NaN |   11.63693 |   12.11211 |      988 |        2 |      985 |        4 |     1058 |  161.4 |   44.2 |     0.10 |     0.02 | S0    |      |       | M         | C           |  -2.1 |   0.7 |     1.09 |     0.04 |  38.17 |   2.04 |  54.70 |   3.00 |  16.14 |   0.18 |  12.85 |   0.12 |  13.36 |    NaN |    NaN |  12.96 |
  NGC4579                 | [TH2002]007,[RG2008]J189.43137+11.81818,VCC1727,UGC07796,SDSSJ123743.52+114905.4,PGC042168,NGC4579,MESSIER058,MCG+02-32-160,M58,LGG289:[G93]047,IRAS12352+1205,IRAS12351+1205,EVCC0965,CGCG070-197,AGC007796,2MASXJ12374359+1149051                              |     42168 |  31.86 |  31.50 |   12.62876 |   11.81813 |     1517 |        2 |     1517 |        3 |     1606 |   90.2 |   41.9 |     0.12 |     0.03 | Sb    | B    |       |           |             |   2.8 |   0.6 |     1.70 |     0.02 | 166.21 |   4.99 | 249.05 |   7.84 |  14.94 |   0.16 |  11.07 |   0.18 |  10.08 |   0.40 |   0.75 |   8.79 |
  NGC3034                 | UGC05322,PGC028655,NGC3034,MESSIER082,MCG+12-10-011,LGG176:[G93]012,KPG218B,IRAS09517+6954,HIJASSJ0955+69,CGCG333-008,ARP337,4C+69.12,3C231,2MFGC07685,2MASXJ09555243+6940469                                                                                    |     28655 |    NaN |  27.79 |    9.93120 |   69.67977 |      231 |        6 |      221 |        4 |      487 |   65.8 |   76.9 |     0.33 |     0.05 | S?    |      |       | M         |             |   7.2 |   4.1 |     2.04 |     0.02 |  63.88 |   3.30 |  65.59 |   3.43 |  11.28 |   0.25 |   5.58 |   0.68 |   7.66 |   0.13 |   0.68 |    NaN |
  NGC7331                 | [BTW2003]J2237+3424,UGC12113,PGC069327,NGC7331,MCG+06-49-045,LGG459:[G93]003,IRAS22347+3409,CGCG514-068,AGC012113,2MASXJ22370410+3424573                                                                                                                         |     69327 |  30.87 |  30.81 |   22.61782 |   34.41562 |      817 |        2 |      817 |        2 |      987 |  169.7 |   70.0 |     0.39 |     0.05 | Sbc   |      |       |           |             |   3.9 |   0.3 |     1.97 |     0.02 | 237.17 |   3.63 | 252.45 |   3.96 |  12.08 |   0.07 |   8.96 |   0.40 |   9.19 |   0.15 |   0.70 |   7.98 |
  NGC5866                 | UGC09723,PGC053933,NGC5866,MESSIER102,MCG+09-25-017,LGG396:[G93]001,IRAS15051+5557,EONJ226.622+55.763,EGISJ150629.4+554547,CGCG274-016,2MASXJ15062956+5545479                                                                                                    |     53933 |  30.78 |  30.80 |   15.10820 |   55.76322 |      674 |       10 |      NaN |      NaN |      950 |  126.5 |   90.0 |     0.36 |     0.06 | S0-a  | B    |       | M         |             |  -1.3 |   0.6 |     1.80 |     0.03 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |  11.04 |   0.06 |  10.67 |   0.33 |   0.78 |   9.20 |
  NGC4826                 | UGC08062,PGC044182,NGC4826,MESSIER064,MCG+04-31-001,KIG0559,IRAS12542+2157,HIPASSJ1256+21,EVCC2248,CGCG130-001,AGC008062,ADBSJ125711+2135,2MASXJ12564369+2140575                                                                                                 |     44182 |  29.67 |  28.22 |   12.94547 |   21.68181 |      408 |        3 |      408 |        3 |      548 |  114.0 |   64.0 |     0.29 |     0.03 | SABa  | B    |       |           |             |   2.2 |   0.6 |     2.02 |     0.02 | 136.71 |   3.45 | 152.16 |   3.91 |  13.42 |   0.10 |   9.21 |   0.18 |   8.71 |    NaN |   0.74 |   7.39 |
  NGC5055                 | UGC08334,SUNFLOWER_GALAXY,SDSSJ131549.26+420145.8,PGC046153,NGC5055,MESSIER063,MCG+07-27-054,LGG347:[G93]002,IRAS13135+4217,CGCG217-023,2MASXJ13154932+4201454                                                                                                   |     46153 |  30.18 |  29.78 |   13.26369 |   42.02928 |      508 |        3 |      510 |        3 |      731 |  103.0 |   54.9 |     0.22 |     0.04 | Sbc   |      |       |           |             |   4.0 |   0.2 |     2.07 |     0.02 | 178.40 |   3.89 | 218.13 |   4.95 |  11.58 |   0.13 |   8.71 |   0.08 |   8.89 |    NaN |   0.66 |   7.56 |
  NGC5194                 | WHIRLPOOL,VV403,VV001:,UGC08493,PGC047404,NGC5194,MESSIER051,MCG+08-25-012,LGG347:[G93]004,KPG379A,IRAS13277+4727,CGCG246-008,ARP085:,2MASXJ13295269+4711429                                                                                                     |     47404 |  30.18 |  29.67 |   13.49797 |   47.19515 |      461 |        2 |      463 |        3 |      702 |  163.0 |   32.6 |     0.07 |     0.04 | SABb  | B    |       | M         |             |   4.0 |   0.3 |     2.14 |     0.02 |  72.00 |   1.67 | 133.62 |   3.70 |  12.16 |   0.13 |   7.86 |   0.15 |   8.34 |    NaN |   0.55 |    NaN |
