| objname   | ra     | dec    |
| char      | double | double |
pgc2584607       234.278       58.9476
pgc55802       235.387       59.7553
pgc2597829       233.702       60.0857
pgc55561       234.031       59.5668
pgc55609       234.200       59.3978
pgc55740       234.989       58.0795
pgc55833       235.581      0.474640
pgc56006       236.628       45.9983
pgc56020       236.722       17.8727
pgc56105       237.242       18.1033
pgc56023       236.745       17.8843
pgc56024       236.745      -75.7875
pgc55076       231.526       41.6707
pgc55080       231.533       41.6761
pgc4005843       231.573       40.6676
pgc54851       230.493       41.1252
pgc4009183       232.292       40.9071
pgc55169       232.017       55.5458
pgc55156       231.961       55.4370
pgc4018578       233.163      -1.60173
pgc55388       233.274      -1.62918
pgc55427       233.395      -78.1238
pgc56077       237.062      -78.1786
pgc55493       233.687       31.0534
pgc55576       234.081       30.6823
pgc55501       233.744       11.7500
pgc55520       233.847       12.0474
pgc55587       234.133       16.4401
pgc55482       233.646       15.1994
pgc55480       233.635       15.1938
pgc55710       234.833       15.3843
pgc54267       228.030       55.7850
pgc53949       226.641       55.4792
pgc54423       228.723      -23.1249
pgc54644       229.650      -24.1199
pgc54740       230.128      -24.4694
pgc3843823       229.555      -24.0830
pgc792714       229.686      -24.1809
pgc792560       229.554      -24.1962
pgc54409       228.634      -23.1140
pgc54677       229.796      -24.4297
pgc54670       229.765      -23.8209
pgc789968       229.885      -24.4374
pgc54817       230.389      -7.44767
pgc54809       230.386      -7.37706
pgc54811       230.400      -12.0934
pgc946374       230.602      -12.8719
pgc54816       230.388      -13.0917
pgc54825       230.408      -13.1692
pgc54779       230.308      -13.1005
pgc2167946       231.685       40.5802
pgc1179522       224.471      0.934260
pgc1242097       224.692       2.96899
pgc1223766       224.670       2.33986
pgc1209872       226.461       1.90834
pgc53521       224.703       2.02350
pgc974148       226.765      -10.7558
pgc53977       226.779      -9.96410
pgc106003       228.215      -11.7957
pgc54075       227.205      -11.2077
pgc4684077       226.595      -75.2980
pgc54216       227.870      -75.8599
pgc54371       228.476      -13.1061
pgc54153       227.713       61.1479
pgc54421       228.769       61.2030
pgc54314       228.282       56.9686
pgc3386631       224.134       55.0297
pgc54419       228.700       56.4543
pgc4018466       225.637       1.93582
pgc1193898       225.219       1.40493
pgc53636       225.263      0.707640
pgc1176138       228.132      0.812560
pgc1190315       226.179       1.29088
pgc4012733       227.052       1.49975
pgc4009173       226.202       1.98084
pgc1156476       226.671     0.0767500
pgc3119319       226.643       1.55884
pgc54045       227.038       1.60856
pgc87108       225.984      0.429540
pgc3350792       225.650       2.02759
pgc1199418       228.034       1.58584
pgc1211621       226.268       1.96426
pgc1190358       226.369       1.29233
pgc54037       227.023       1.65156
pgc4005496       227.283      0.724790
pgc1190714       226.407       1.30309
pgc1218738       226.514       2.18486
pgc1210284       227.312       1.92142
pgc54013       226.949       2.56860
pgc1176385       227.268      0.821930
pgc54171       227.744       1.43753
pgc54004       226.905       2.01954
pgc4018458       225.247       1.87670
pgc1171244       226.675      0.634450
pgc1236445       228.789       2.75183
pgc4443182       225.080      0.950010
pgc1179083       226.099      0.918390
pgc3350761       225.247       1.64913
pgc4609877       227.107       1.70693
pgc3350784       225.279       2.09031
pgc1197513       226.035       1.52454
pgc4609743       227.036       2.90502
pgc4609879       227.083       1.68963
pgc1200646       228.173       1.62325
pgc1197564       223.733       1.52556
pgc53587       225.069       2.30069
pgc4609806       226.143       1.03243
pgc1192611       225.617       1.36422
pgc4609878       227.038       1.42058
pgc1216386       226.103       2.11462
pgc1196740       225.314       1.49826
pgc135871       223.679       1.16187
pgc54111       227.390       3.05272
pgc4016257       225.253       1.01382
pgc53930       226.621       1.59497
pgc53600       225.122      -16.8343
pgc53549       224.850      -16.6239
pgc53303       223.669      -17.4056
pgc53583       225.036      -16.3654
pgc53697       225.599      -17.6456
pgc53597       225.112       1.62362
pgc4074773       224.619       1.54303
pgc53779       226.056      -7.22288
pgc53654       225.366      -14.3134
pgc53595       225.100      -13.5526
pgc53624       225.218      -14.1653
pgc91408       225.731      -13.3295
pgc53724       225.751      -13.2826
pgc1213020       226.472       2.00775
pgc4609703       226.743       1.99454
pgc53683       225.515       1.84102
pgc53941       226.646       2.00488
pgc53409       224.106      -37.6009
pgc53414       224.149       30.2337
