# AKL - this is stupid, but be aware that I had to search and replace || -> | | a few times to get IDL to pick up the blanks. Switch to python ASAP.
# "EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"
# pgc|Objname|Dist|e_D|Glon|Glat|SGL|SGB|Vhel|Vgsr|V_LS|SGX|SGY|SGZ|So|DM_T|eDM_T|DM_Q|DM_G|eDM_G|DM_N|GpID|NBG_ID
# %7s|%11s|%6.2f|%5s|%8.4f|%8.4f|%8.4f|%8.4f|%5d|%5d|%5d|%7.2f|%7.2f|%7.2f|%1d|%5.2f|%4.2f|%5.2f|%5.2f|%4.2f|%5.2f|%4d|%8s
# ---| |Mpc|Mpc|deg|deg|deg|deg|km/s|km/s|km/s|Mpc|Mpc|Mpc| |mag|mag|mag|mag|mag|mag| |
# "The Catalogue of Principal Galaxies (PGC) Number"|"Galaxy name"|Distance|"Uncertainty in distance"|"Galactic longitude"|"Galactic latitude"|"Supergalactic longitude"|"Supergalactic latitude"|"Heliocentric velocity"|"Velocity in Galactic stndard of rest (RC3)"|"Local Sheet reference frame (2008, ApJ,676,184)"|"Distance projected to SGX axis"|"Distance projected to SGX axis"|"Distance projected to SGX axis"|"Source: 1=CMDs/TRGB; 2=Quality Distances; 3=Cosmicflows-1 group distances; 4=Numerical Action kinematic model"|"Distance modulus from CMDs/TRGB catalog"|"Error in TRGB modulus"|"Distance modulus from Quality Distances catalog; 10% distance uncertainties"|"Distance modulus for group containing galaxy from Cosmicflows-1 catalog"|"Error in group modulus"|"Distance from velocity based on a Numerical Action model"|"Tully 3000 group identification number"|"Nearby Galaxies Catalog (1988) Group ID number"
2329|NGC0185|0.64|0.03|120.7917|-14.4824|343.2679|14.3030|-227|-40|52|0.59|-0.18|0.16|1|24.03|0.10| | | | |222|"14-12 12"
2349|NGC0178|19.00|4.0|109.8403|-76.7288|281.7457|-0.0963|1448|1491|1526|3.88|-18.66|-0.03|3| | | |31.40|0.41| |1102|"61-22 21"
2429|NGC0205|0.78|0.04|120.7171|-21.1383|336.5374|13.0598|-241|-62|28|0.70|-0.30|0.18|1|24.46|0.10| | | | |222|"14-12 12"
2436|UGC00392|26.90|5.6|122.5906|20.3581|19.4118|16.0220|1409|1590|1670|24.40|8.60|7.43|3| | | |32.15|0.41| |124|"12 11 11"
2437|NGC0210|19.00|4.0|111.5724|-76.5049|282.1288|-0.3496|1634|1677|1713|4.00|-18.63|-0.12|3| | | |31.40|0.41| |1102|"61-22 21"
2445|ESO079-005|21.20|4.4|304.9500|-53.6448|233.6419|-12.4375|1721|1606|1565|-12.26|-16.66|-4.56|3| | | |31.63|0.41| |1032|"55  0  0"
2478|NGC0216|16.80|2.4|101.8605|-83.5053|275.2881|-2.5261|1556|1575|1600|1.55|-16.74|-0.74|3| | | |31.13|0.29| |1111|"61  0  0"
2526|ESO540-016|16.80|2.4|109.1636|-80.7869|278.1157|-1.9167|1555|1583|1612|2.37|-16.65|-0.56|3| | | |31.13|0.29| |1111|"61  0  0"
2555|NGC0221|0.71|0.04|121.1501|-21.9755|335.7854|12.4896|-200|-23|67|0.63|-0.28|0.15|1|24.26|0.10| | | | |222|"14-12 12"
2557|NGC0224|0.79|0.08|121.1743|-21.5733|336.1930|12.5521|-297|-119|-29|0.70|-0.31|0.17|2| | |24.48| | | |222|"14-12 12"
2578|IC1574|4.90|0.29|101.1967|-84.7615|274.2333|-3.2136|361|375|398|0.36|-4.88|-0.27|1|28.45|0.12| | | | |355|"19 -8  7"
2666|AndI|0.77|0.08|121.6794|-24.8167|333.0548|11.4068|-368|-196|-107|0.67|-0.34|0.15|2| | |24.36| | | |222|"14-12 12"
2675|NGC0244|12.00| |116.1361|-78.3937|280.8153|-2.0292|941|975|1008|2.16|-11.32|-0.41|4| | | | | |30.31|357|"19  0  0"
2689|PGC002689|18.00| |118.0465|-74.3262|284.7723|-0.9818|1617|1664|1704|4.70|-17.84|-0.32|4| | | | | |31.33|1101|"61-21 21"
2699|UGC00477|31.60|4.5|121.2400|-43.3647|314.7419|7.1899|2657|2793|2869|22.08|-22.29|3.96|3| | | |32.50|0.29| |1294|"60  0  0"
2710|IC0051|19.00|4.0|117.7701|-76.2637|282.9312|-1.5909|1728|1769|1805|4.26|-18.56|-0.53|3| | | |31.40|0.41| |1102|"61-22 21"
2758|NGC0247|3.70|0.19|113.9472|-83.5571|275.9226|-3.7298|159|175|201|0.38|-3.67|-0.24|1|27.84|0.10| | | | |233|"14-13 13"
2778|NGC0254|21.50|4.5|314.1143|-85.6198|265.5981|-6.5500|1629|1610|1618|-1.64|-21.28|-2.45|3| | | |31.66|0.41| |1098|"61-19 18"
2789|NGC0253|3.68|0.18|97.3631|-87.9646|271.5649|-5.0093|250|251|269|0.10|-3.66|-0.32|1|27.83|0.10| | | | |233|"14-13 13"
2802|NGC0255|18.00| |119.6189|-74.3171|284.9229|-1.3793|1599|1646|1685|4.75|-17.82|-0.44|4| | | | | |31.33|1101|"61-21 21"
2805|PGC002805|18.00| |119.9027|-72.7498|286.4339|-0.9546|1346|1398|1439|5.22|-17.69|-0.31|4| | | | | |31.33|1101|"61-21 21"
2834|IC0052|30.00| |121.4687|-58.7713|299.9451|2.6969|1961|2055|2115|14.92|-25.90|1.41|4| | | | | |32.38|909|"52  0 12"
2881|ESO540-030|3.55|0.18|119.7845|-80.9349|278.6546|-3.5198|224|248|277|0.53|-3.50|-0.22|1|27.75|0.10| | | | |233|"14-13 13"
2902|ESO540-031|3.42|0.17|119.4165|-83.8730|275.8449|-4.4019|303|317|342|0.35|-3.39|-0.26|1|27.67|0.10| | | | |233|"14-13 13"
2919|ESO079-007|18.00| |303.1468|-50.5755|230.6433|-13.8936|1673|1547|1502|-11.36|-13.85|-4.43|4| | | | | |31.33|1033|"55  0  0"
2933|ESO540-032|3.61|0.18|121.0091|-82.7741|276.9510|-4.2433|228|245|272|0.44|-3.57|-0.27|1|27.79|0.10| | | | |233|"14-13 13"
2980|NGC0274|19.50|2.0|122.6360|-69.9285|289.3874|-0.9535|1750|1809|1854|6.47|-18.39|-0.32|2| | |31.45| | | |1103|"61-23 21"
2984|NGC0275|19.50|1.6|122.6716|-69.9386|289.3810|-0.9680|1735|1794|1839|6.47|-18.39|-0.33|3| | | |31.45|0.17| |1103|"61-23 21"
3015|PGC003015|18.00| |122.9684|-64.1248|295.0061|0.5064|1390|1467|1519|7.80|-16.72|0.16|4| | | | | |31.33|1104|"61-24 21"
3043|PGC003043|18.00| |123.2418|-63.3581|295.7772|0.5956|1687|1766|1819|8.02|-16.61|0.19|4| | | | | |31.33|1104|"61-24 21"
