# AKL - this is stupid, but be aware that I had to search and replace || -> | | a few times to get IDL to pick up the blanks. Switch to python ASAP.
# "EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"
# pgc|Objname|Dist|e_D|Glon|Glat|SGL|SGB|Vhel|Vgsr|V_LS|SGX|SGY|SGZ|So|DM_T|eDM_T|DM_Q|DM_G|eDM_G|DM_N|GpID|NBG_ID
# %7s|%11s|%6.2f|%5s|%8.4f|%8.4f|%8.4f|%8.4f|%5d|%5d|%5d|%7.2f|%7.2f|%7.2f|%1d|%5.2f|%4.2f|%5.2f|%5.2f|%4.2f|%5.2f|%4d|%8s
# ---| |Mpc|Mpc|deg|deg|deg|deg|km/s|km/s|km/s|Mpc|Mpc|Mpc| |mag|mag|mag|mag|mag|mag| |
# "The Catalogue of Principal Galaxies (PGC) Number"|"Galaxy name"|Distance|"Uncertainty in distance"|"Galactic longitude"|"Galactic latitude"|"Supergalactic longitude"|"Supergalactic latitude"|"Heliocentric velocity"|"Velocity in Galactic stndard of rest (RC3)"|"Local Sheet reference frame (2008, ApJ,676,184)"|"Distance projected to SGX axis"|"Distance projected to SGX axis"|"Distance projected to SGX axis"|"Source: 1=CMDs/TRGB; 2=Quality Distances; 3=Cosmicflows-1 group distances; 4=Numerical Action kinematic model"|"Distance modulus from CMDs/TRGB catalog"|"Error in TRGB modulus"|"Distance modulus from Quality Distances catalog; 10% distance uncertainties"|"Distance modulus for group containing galaxy from Cosmicflows-1 catalog"|"Error in group modulus"|"Distance from velocity based on a Numerical Action model"|"Tully 3000 group identification number"|"Nearby Galaxies Catalog (1988) Group ID number"
50961|UGC09128|2.29|0.11|25.5713|70.4641|97.8341|24.3521|153|196|183|-0.28|2.07|0.94|1|26.80|0.10| | | | |229|"14 12 12"
50970|ESO446-039|28.40|3.2|323.8438|29.1306|151.4109|8.7125|2784|2674|2598|-24.69|13.46|4.31|3| | | |32.27|0.23| |83|"11-35 35"
51015|IC4390|17.00|2.2|318.4442|15.3020|164.8943|2.6952|2100|1960|1876|-16.38|4.42|0.80|3| | | |31.15|0.27| |314|"16 -3  2"
51055|NGC5534|30.00| |337.1679|49.6351|129.7321|17.5720|2633|2585|2532|-18.23|21.94|9.03|4| | | | | |32.38|705|"41-13 12"
51061|IC4393|28.40|3.2|323.7852|28.0011|152.5501|8.6116|2755|2644|2567|-24.96|12.97|4.26|3| | | |32.27|0.23| |83|"11-35 35"
51104|NGC5557|36.00|3.1|65.3044|69.3493|83.0673|25.8809|3258|3340|3348|3.91|32.13|15.70|3| | | |32.78|0.18| |730|"42  0  1"
51106|NGC5530|11.80|2.2|319.2646|16.7071|163.5720|3.6189|1200|1064|981|-11.25|3.32|0.74|3| | | |30.35|0.37| |311|"16 -1  1"
51120|UGC09164|29.00| |22.7104|69.4728|99.2763|24.8238|2510|2551|2537|-4.22|25.83|12.11|4| | | | | |32.30|720|"41  0  0"
51126|ESO222-001|11.80|2.2|317.7896|12.5944|167.5234|1.7826|1284|1140|1056|-11.47|2.54|0.37|3| | | |30.35|0.37| |311|"16 -1  1"
51207|UGC09169|15.60|3.2|356.6574|62.6144|112.7144|22.7826|1281|1285|1253|-5.54|13.23|6.03|3| | | |30.96|0.41| |682|"41  0  1"
51210|NGC5585|5.62|0.43|100.9968|56.4747|60.7022|24.6654|305|436|473|2.50|4.46|2.35|3| | | |28.75|0.16| |216|"14 -9  9"
51223|NGC5560|23.50|1.6|349.2517|58.6502|118.3554|21.5384|1714|1702|1663|-10.40|19.28|8.65|3| | | |31.86|0.14| |674|"41 -3  1"
51233|NGC5566|23.50|1.6|349.2714|58.5634|118.4355|21.5842|1506|1494|1455|-10.43|19.26|8.66|3| | | |31.86|0.14| |674|"41 -3  1"
51241|NGC5569|23.50|1.6|349.4087|58.5683|118.3982|21.6471|1773|1761|1722|-10.41|19.26|8.69|3| | | |31.86|0.14| |674|"41 -3  1"
51245|NGC5556|16.90|2.5|325.3266|29.7249|150.8548|10.0239|1384|1279|1205|-14.54|8.11|2.94|3| | | |31.14|0.30| |318|"16  0  0"
51251|NGC5582|28.40|2.8|72.7738|67.6291|79.5037|26.3278|1435|1527|1540|4.64|25.07|12.62|2| | |32.27| | | |809|"43  0  0"
51270|NGC5574|23.90|2.4|348.6432|57.9335|119.1992|21.5439|1659|1645|1606|-10.83|19.39|8.77|2| | |31.89| | | |674|"41 -3  1"
51275|NGC5576|25.50|2.5|348.7297|57.9384|119.1742|21.5838|1482|1469|1429|-11.54|20.68|9.37|2| | |32.03| | | |674|"41 -3  1"
51286|NGC5577|23.50|1.6|348.9855|58.0398|119.0148|21.6658|1488|1475|1436|-10.62|19.14|8.69|3| | | |31.86|0.14| |674|"41 -3  1"
51288|IC4402|17.00|2.2|318.6949|13.8073|166.4076|2.7850|1650|1510|1426|-16.49|3.99|0.83|3| | | |31.15|0.27| |314|"16 -3  2"
51290|ESO446-053|16.90|2.5|325.4827|29.6441|150.9406|10.1574|1398|1294|1219|-14.54|8.08|2.98|3| | | |31.14|0.30| |318|"16  0  0"
51344|NGC5584|23.10|4.8|345.1143|54.8559|123.0419|20.8767|1641|1617|1573|-11.78|18.11|8.24|3| | | |31.82|0.41| |671|"41  2  1"
51358|UGC09211|14.00| |84.1355|64.2811|73.1425|26.4043|690|797|818|3.60|11.89|6.17|4| | | | | |30.71|823|"44  0  0"
51396|NGC5608|17.70|3.7|76.8150|66.1919|77.1603|26.7506|662|760|777|3.51|15.41|7.97|3| | | |31.24|0.41| |824|"44  0  0"
51400|UGC09215|23.50|1.6|347.7774|56.3649|120.9487|21.7343|1389|1372|1331|-11.25|18.76|8.72|3| | | |31.86|0.14| |674|"41 -3  1"
51409|ESO222-004|18.00| |317.8772|10.5216|169.5945|1.6476|1545|1400|1316|-18.14|3.33|0.53|4| | | | | |31.33|312|"16  1  1"
51420|ESO041-006|17.50|3.6|308.8004|-13.5134|192.6790|-9.7719|2552|2380|2298|-16.79|-3.78|-2.96|3| | | |31.21|0.41| |1022|"55  0  1"
51422|NGC5600|28.00| |7.4491|65.1365|107.2998|24.8586|2318|2341|2317|-7.47|23.97|11.63|4| | | | | |32.21|721|"41  0  0"
51431|NGC5611|25.20|2.5|55.0411|69.1549|86.9451|26.9614|1957|2033|2037|1.20|22.46|11.44|2| | |32.01| | | |795|"42  0  0"
51445|NGC5595|28.00| |332.7749|40.7109|139.4108|15.7793|2711|2641|2578|-20.22|17.33|7.52|4| | | | | |32.21|707|"41-14 14"
51456|NGC5597|28.00| |332.8178|40.6488|139.4719|15.8174|2697|2627|2564|-20.23|17.30|7.54|4| | | | | |32.21|707|"41-14 14"
51471|NGC5604|30.00| |343.1161|52.2282|126.1080|20.5770|2748|2718|2670|-16.51|22.63|10.52|4| | | | | |32.38|706|"41 13 12"
51472|UGC09240|2.83|0.14|82.0086|64.4766|74.0672|26.8523|153|259|279|0.69|2.43|1.28|1|27.26|0.10| | | | |213|"14  8  7"
51503|UGC09242|27.90|1.9|71.3913|66.8982|79.6524|27.2234|1440|1534|1547|4.46|24.43|12.77|3| | | |32.23|0.14| |809|"43  0  0"
51564|NGC5631|27.80|2.8|99.5275|56.0103|60.6888|25.6046|1979|2112|2150|12.27|21.86|12.01|2| | |32.22| | | |739|"42 -7  3"
51584|ESO272-009|17.00|2.2|319.8004|13.8423|166.4795|3.8566|1946|1809|1726|-16.47|3.96|1.14|3| | | |31.15|0.27| |314|"16 -3  2"
51587|UGC09249|20.00| |358.1772|60.8393|113.8842|24.3699|1366|1373|1341|-7.22|16.32|8.08|4| | | | | |31.46|683|"41  0  1"
51613|ESO001-006|27.00| |303.9326|-25.0888|204.3300|-14.8243|2097|1924|1849|-23.38|-10.57|-6.79|4| | | | | |32.12|1026|"55 -4  3"
51620|NGC5633|36.50|7.6|84.3384|63.1346|72.2093|27.1973|2333|2444|2467|9.91|30.89|16.67|3| | | |32.81|0.41| |734|"42  3  3"
51635|NGC5630|31.30|6.2|74.7327|65.7414|77.6986|27.5828|2658|2757|2774|5.92|27.13|14.51|3| | | |32.48|0.39| |731|"42  0  1"
51659|PGC051659|3.53|0.39|319.8258|13.3765|166.9465|3.8360|393|256|173|-3.43|0.80|0.24|1|27.74|0.23| | | | |242|"14-16 15"
51685|IC1014|20.00| |7.2128|63.7560|108.4598|25.7624|1287|1310|1286|-5.59|16.73|8.51|4| | | | | |31.46|684|"41  0  1"
51767|UGC09355|33.10|6.9|117.3891|36.8119|36.9245|19.7472|2059|2225|2289|24.92|18.72|11.19|3| | | |32.60|0.41| |765|"42 13 13"
51780|UGC09299|23.50|1.6|347.9425|54.0459|123.2277|22.7014|1542|1524|1482|-11.90|18.17|9.09|3| | | |31.86|0.14| |674|"41 -3  1"
51787|NGC5638|26.30|2.6|351.6855|56.5020|119.8424|23.6435|1622|1614|1576|-11.99|20.90|10.55|2| | |32.10| | | |674|"41 -3  1"
51795|NGC5660|38.90|3.0|89.5606|60.6446|68.2758|27.1907|2303|2423|2451|12.81|32.15|17.78|3| | | |32.95|0.16| |733|"42 -3  3"
51798|UGC09324|39.00| |80.6858|63.7639|74.0730|27.7694|2746|2854|2875|9.53|33.41|18.29|4| | | | | |32.97|732|"42  0  1"
51809|UGC09310|23.50|1.6|351.7849|56.4348|119.8816|23.7225|1853|1845|1807|-10.74|18.69|9.47|3| | | |31.86|0.14| |674|"41 -3  1"
51820|ESO385-032|34.40|7.1|324.0042|21.8337|158.7887|8.4840|2840|2723|2645|-31.68|12.30|5.07|3| | | |32.68|0.41| |98|"11  0  0"
51822|ESO385-033|26.50|5.5|325.2159|24.3236|156.3302|9.7284|3014|2903|2826|-23.96|10.51|4.49|3| | | |32.12|0.41| |97|"11  0  0"
51830|NGC5667|27.90|2.3|102.0171|53.4554|57.4409|25.5233|1943|2083|2124|13.56|21.24|12.03|3| | | |32.23|0.17| |739|"42 -7  3"
51846|NGC5645|20.00| |357.3363|59.2180|115.6258|24.9171|1370|1375|1342|-7.68|16.02|8.25|4| | | | | |31.46|675|"41  3  1"
51895|IC1024|23.50|1.6|352.0030|56.0368|120.2122|24.0082|1455|1448|1409|-10.82|18.59|9.58|3| | | |31.86|0.14| |674|"41 -3  1"
51901|NGC5673|38.90|3.0|89.7159|60.2190|67.8587|27.4135|2081|2202|2231|13.02|31.99|17.91|3| | | |32.95|0.16| |733|"42 -3  3"
51902|ESO511-050|28.00| |329.7836|32.2136|148.3255|13.8542|2559|2471|2401|-22.86|14.11|6.63|4| | | | | |32.21|724|"41  0  0"
51905|IC4444|25.00| |321.5729|15.7965|164.6847|5.7425|1956|1826|1745|-24.33|6.66|2.54|4| | | | | |32.02|315|"16  0  2"
51921|NGC5661|29.50|4.4|356.3355|58.2775|116.8086|24.9786|2354|2357|2323|-12.06|23.88|12.46|3| | | |32.35|0.30| |677|"41 -5  1"
51925|ESO175-009|39.00| |316.9124|4.6522|175.3257|0.0582|3105|2954|2870|-39.13|3.20|0.04|4| | | | | |32.97|474|"23  0  0"
51932|NGC5678|27.90|2.3|100.0446|54.5048|59.0665|26.0750|1921|2058|2098|12.89|21.52|12.27|3| | | |32.23|0.17| |739|"42 -7  3"
51953|NGC5665|29.50|4.4|359.0817|59.4360|114.8783|25.5360|2229|2238|2206|-11.20|24.16|12.72|3| | | |32.35|0.30| |677|"41 -5  1"
51955|IC1029|38.90|3.0|89.4356|60.1404|67.8954|27.5701|2382|2504|2533|12.98|31.95|18.01|3| | | |32.95|0.16| |733|"42 -3  3"
51957|NGC5658|23.10|4.8|349.2289|53.8254|123.1346|23.4855|1671|1656|1614|-11.59|17.76|9.21|3| | | |31.82|0.41| |671|"41  2  1"
51969|NGC5643|11.80|2.2|321.4427|15.0284|165.4426|5.5504|1199|1068|986|-11.32|2.94|1.14|3| | | |30.35|0.37| |311|"16 -1  1"
51973|NGC5669|19.70|3.8|1.9353|60.5563|112.9375|26.0217|1400|1414|1386|-6.89|16.29|8.63|3| | | |31.47|0.38| |685|"41  0  1"
51978|NGC5676|38.90|3.0|88.6767|60.3857|68.3849|27.6876|2103|2224|2252|12.69|32.03|18.08|3| | | |32.95|0.16| |733|"42 -3  3"
51995|NGC5666|29.50|4.4|3.0544|60.8633|112.2895|26.2577|2221|2238|2210|-10.04|24.49|13.06|3| | | |32.35|0.30| |677|"41 -5  1"
52018|NGC5668|23.50|1.6|354.4333|56.7521|118.8290|24.8655|1579|1577|1541|-10.30|18.72|9.90|3| | | |31.86|0.14| |674|"41 -3  1"
52057|NGC5612|35.30|7.3|308.1473|-16.5689|195.7332|-10.6072|2764|2592|2512|-33.41|-9.41|-6.50|3| | | |32.74|0.41| |1021|"55 -2  1"
52091|UGC09391|27.90|2.3|101.1803|53.2141|57.4475|26.0781|1921|2062|2104|13.50|21.14|12.28|3| | | |32.23|0.17| |739|"42 -7  3"
52092|UGC09380|23.50|1.6|354.5936|56.3997|119.1216|25.1139|1708|1707|1670|-10.38|18.63|10.00|3| | | |31.86|0.14| |674|"41 -3  1"
52107|NGC5682|38.90|3.0|87.0182|60.6263|69.2150|28.1194|2267|2387|2415|12.18|32.08|18.34|3| | | |32.95|0.16| |733|"42 -3  3"
52116|NGC5687|27.90|2.8|95.3878|56.7681|62.7514|27.1568|2200|2332|2368|11.38|22.09|12.75|2| | |32.23| | | |740|"42  7  3"
52125|ESO222-010|4.04|0.31|319.7055|10.0458|170.2556|3.3873|632|492|409|-3.97|0.68|0.24|3| | | |28.03|0.16| |242|"14-16 15"
52141|UGC09385|19.80|1.0|356.1383|56.9883|118.0891|25.5553|1644|1646|1612|-8.40|15.74|8.53|3| | | |31.48|0.11| |670|"41 -2  1"
52142|UGC09405|5.62|0.43|98.7068|54.7088|59.6854|26.6533|222|359|399|2.54|4.34|2.52|3| | | |28.75|0.16| |216|"14 -9  9"
52154|NGC5689|38.90|3.0|86.9803|60.4854|69.1147|28.2307|2160|2280|2308|12.22|32.02|18.40|3| | | |32.95|0.16| |733|"42 -3  3"
52159|UGC09389|29.00|4.1|7.8101|61.8082|109.7957|27.3245|1824|1849|1825|-8.72|24.22|13.30|3| | | |32.31|0.29| |687|"41  0  1"
52161|NGC5670|29.10|3.4|321.1983|13.1788|167.2712|5.1470|2920|2787|2705|-28.28|6.39|2.61|3| | | |32.32|0.24| |460|"23 -6  6"
52167|UGC09394|29.00|4.1|8.3028|61.9322|109.5123|27.4018|1801|1827|1803|-8.59|24.25|13.33|3| | | |32.31|0.29| |687|"41  0  1"
52263|UGC09426|38.90|3.0|86.3883|60.2944|69.1915|28.5735|2315|2436|2464|12.14|31.94|18.61|3| | | |32.95|0.16| |733|"42 -3  3"
52273|NGC5690|19.80|1.0|353.1549|54.4536|121.4444|25.3058|1753|1748|1709|-9.32|15.25|8.45|3| | | |31.48|0.11| |670|"41 -2  1"
52291|NGC5691|19.80|1.0|350.1970|52.4203|124.2988|24.5723|1870|1857|1815|-10.13|14.85|8.22|3| | | |31.48|0.11| |670|"41 -2  1"
52307|NGC5714|38.90|3.0|82.9174|61.3401|71.4137|28.9764|2240|2357|2382|10.85|32.26|18.85|3| | | |32.95|0.16| |733|"42 -3  3"
52317|NGC5692|19.80|1.0|354.6929|55.1544|120.2995|25.7637|1610|1609|1572|-8.98|15.37|8.59|3| | | |31.48|0.11| |670|"41 -2  1"
52324|IC4468|25.00|3.7|333.1322|34.1533|146.1953|16.5727|2447|2371|2305|-19.91|13.33|7.13|3| | | |31.99|0.30| |722|"41  0  0"
52344|UGC09448|38.90|3.0|89.9589|58.5628|66.3443|28.3971|2186|2313|2345|13.73|31.35|18.50|3| | | |32.95|0.16| |733|"42 -3  3"
52345|PGC052345|20.00| |342.7643|45.7699|132.8518|22.0984|1823|1786|1734|-12.34|13.31|7.37|4| | | | | |31.46|686|"41  0  1"
52356|UGC09432|19.80|1.0|354.3672|54.6899|120.8522|25.8199|1573|1571|1534|-9.13|15.28|8.61|3| | | |31.48|0.11| |670|"41 -2  1"
52358|PGC052358|9.00| |62.7431|65.3113|82.6525|30.0207|550|644|655|1.02|7.94|4.63|4| | | | | |29.83|825|"44  0  0"
52365|NGC5701|19.80|1.0|357.4458|56.3648|118.2665|26.4930|1505|1510|1476|-8.38|15.58|8.82|3| | | |31.48|0.11| |670|"41 -2  1"
52371|ESO222-012|18.00| |319.1913|7.2068|173.0305|2.5877|1471|1328|1245|-18.30|2.24|0.83|4| | | | | |31.33|312|"16  1  1"
52381|NGC5688|29.10|3.4|322.2499|13.7579|166.7839|6.2176|2806|2677|2596|-28.17|6.62|3.15|3| | | |32.32|0.24| |460|"23 -6  6"
52395|NGC5705|19.80|1.0|350.4527|51.8612|124.7958|24.9376|1768|1755|1713|-10.23|14.72|8.34|3| | | |31.48|0.11| |670|"41 -2  1"
52396|NGC5730|27.50|5.7|75.3661|63.0366|75.8108|29.7385|2517|2626|2646|5.86|23.19|13.66|3| | | |32.20|0.41| |1253|"72  0  0"
52410|IC4472|29.10|3.4|322.6522|14.3537|166.2203|6.6575|2911|2783|2703|-28.08|6.89|3.37|3| | | |32.32|0.24| |460|"23 -6  6"
52412|NGC5713|19.80|1.0|351.0223|52.1235|124.3755|25.1539|1900|1889|1848|-10.10|14.77|8.40|3| | | |31.48|0.11| |670|"41 -2  1"
52424|NGC5727|43.00|8.9|55.9665|65.6365|85.9013|30.3771|1491|1579|1586|2.66|37.05|21.77|3| | | |33.17|0.41| |810|"43  0  0"
52455|NGC5719|19.80|1.0|351.2195|51.9785|124.4674|25.3237|1737|1726|1685|-10.11|14.73|8.46|3| | | |31.48|0.11| |670|"41 -2  1"
52466|UGC09477|55.20|11.5|100.0787|52.6764|57.2512|26.9141|2331|2474|2517|26.63|41.40|24.99|3| | | |33.71|0.41| |741|"42  7  3"
52507|NGC5729|20.00| |343.3671|44.9980|133.5469|22.7000|1819|1783|1732|-12.45|13.10|7.56|4| | | | | |31.46|688|"41  0  1"
52521|NGC5728|24.80|3.5|337.3245|38.0989|141.7226|19.5637|2787|2727|2667|-18.32|14.46|8.30|3| | | |31.97|0.29| |708|"41 15 15"
52564|IC1048|19.80|1.0|357.9765|55.3533|119.0535|27.2798|1633|1639|1605|-8.53|15.36|9.06|3| | | |31.48|0.11| |670|"41 -2  1"
52591|ESO272-025|4.04|0.31|323.0211|13.7545|166.8521|6.9636|624|497|417|-3.90|0.91|0.49|3| | | |28.03|0.16| |242|"14-16 15"
52641|NGC5740|19.80|1.0|354.4912|52.8511|122.6284|26.7422|1569|1567|1529|-9.52|14.87|8.90|3| | | |31.48|0.11| |670|"41 -2  1"
52647|ESO222-015|30.00| |321.1301|9.4326|171.0078|4.7231|2286|2150|2068|-29.45|4.66|2.46|4| | | | | |32.38|475|"23  0  0"
52665|NGC5746|19.80|1.0|354.9659|52.9555|122.3756|26.9472|1719|1718|1680|-9.44|14.88|8.96|3| | | |31.48|0.11| |670|"41 -2  1"
52689|UGC09500|29.00|4.1|2.6994|56.8570|115.9614|28.5954|1690|1707|1677|-11.14|22.87|13.87|3| | | |32.31|0.29| |687|"41  0  1"
52711|ESO580-020|25.00|3.7|335.8762|34.6737|145.4644|18.7885|2360|2293|2229|-19.50|13.42|8.05|3| | | |31.99|0.30| |722|"41  0  0"
52717|ESO022-003|35.30|7.3|308.9246|-16.4056|195.6155|-9.8530|2737|2567|2487|-33.51|-9.36|-6.04|3| | | |32.74|0.41| |1021|"55 -2  1"
52735|NGC5750|19.80|1.0|352.8835|51.1661|124.8095|26.6022|1687|1680|1640|-10.09|14.51|8.85|3| | | |31.48|0.11| |670|"41 -2  1"
52761|NGC5744|30.00| |337.5612|36.4951|143.3878|19.9535|2692|2632|2571|-22.58|16.78|10.21|4| | | | | |32.38|709|"41 15 15"
52809|PGC052809|15.90|2.3|338.4706|37.2977|142.4383|20.5699|2196|2139|2079|-11.82|9.09|5.59|3| | | |31.01|0.29| |695|"41  9  9"
52824|ESO580-029|25.00|3.7|336.9676|35.3193|144.6881|19.6124|2596|2533|2471|-19.22|13.62|8.39|3| | | |31.99|0.30| |722|"41  0  0"
52825|NGC5756|24.00| |340.3316|39.4403|139.9259|21.6774|2141|2092|2035|-17.22|14.48|8.94|4| | | | | |31.92|696|"41  9  9"
52839|NGC5757|30.00| |337.4687|35.8744|144.0528|19.9541|2630|2569|2507|-22.77|16.51|10.21|4| | | | | |32.38|709|"41 15 15"
52935|PGC052935|20.00| |344.4698|42.9824|135.4568|23.9715|1849|1815|1763|-12.76|12.56|7.96|4| | | | | |31.46|688|"41  0  1"
52940|PGC052940|20.00| |344.4517|42.9809|135.4621|23.9591|1849|1815|1763|-12.76|12.56|7.95|4| | | | | |31.46|688|"41  0  1"
52952|UGC09556|55.20|11.5|100.0553|51.1496|55.7307|27.6247|2291|2439|2483|27.54|40.42|25.60|3| | | |33.71|0.41| |741|"42  7  3"
52991|ESO580-041|24.80|3.5|338.7881|36.2902|143.4686|20.9592|2945|2888|2828|-18.59|13.77|8.86|3| | | |31.97|0.29| |708|"41 15 15"
53014|UGC09560|23.00| |58.7617|63.2473|83.9506|32.4721|1202|1300|1311|2.06|19.40|12.41|4| | | | | |31.82|805|"43 -3  3"
53039|UGC09562|23.00| |58.6737|63.1929|83.9813|32.5342|1250|1348|1359|2.04|19.38|12.43|4| | | | | |31.82|805|"43 -3  3"
53043|NGC5777|27.90|2.3|98.2107|52.0106|57.1991|28.2344|2126|2272|2315|13.33|20.68|13.21|3| | | |32.23|0.17| |739|"42 -7  3"
53089|NGC5768|21.00| |352.1534|48.4628|127.7915|27.2830|1962|1952|1910|-11.33|14.61|9.53|4| | | | | |31.59|672|"41  2  1"
53134|PGC053134|21.00| |351.2430|47.6221|128.9271|27.0458|1955|1942|1899|-11.64|14.41|9.46|4| | | | | |31.59|672|"41  2  1"
53201|NGC5770|19.00|1.9|359.7460|52.8316|120.8508|29.5014|1464|1474|1441|-8.46|14.17|9.34|2| | |31.39| | | |670|"41 -2  1"
53217|NGC5783|38.20|7.9|88.8167|56.1979|64.7278|30.3942|2337|2472|2506|14.07|29.79|19.32|3| | | |32.91|0.41| |736|"42 -5  3"
53229|PGC053229|27.50|5.7|71.6379|60.8238|76.2513|32.5362|2530|2645|2666|5.52|22.55|14.81|3| | | |32.20|0.41| |1253|"72  0  0"
53231|NGC5774|19.80|1.0|359.4090|52.4953|121.3029|29.5078|1567|1577|1543|-8.94|14.70|9.74|3| | | |31.48|0.11| |670|"41 -2  1"
53247|NGC5775|19.80|1.0|359.4315|52.4230|121.3650|29.5578|1681|1691|1657|-8.95|14.68|9.75|3| | | |31.48|0.11| |670|"41 -2  1"
53402|NGC5795|38.20|7.9|84.2910|57.3007|67.6386|31.4601|2308|2439|2470|12.40|30.13|19.93|3| | | |32.91|0.41| |736|"42 -5  3"
53409|ESO386-039|37.00| |328.6852|18.9425|161.9516|12.7201|2806|2701|2627|-34.30|11.18|8.14|4| | | | | |32.84|461|"23  6  6"
53415|PGC053415|24.00| |341.4369|36.8530|142.5210|22.9765|2394|2346|2289|-17.69|13.56|9.45|4| | | | | |31.92|699|"41 10 10"
53417|NGC5781|22.00| |340.9061|36.2290|143.2644|22.6576|1907|1857|1799|-16.18|12.08|8.43|4| | | | | |31.70|679|"41  6  1"
53463|NGC5798|24.00| |46.3265|62.2285|90.5871|34.0861|1789|1876|1880|-0.20|20.05|13.57|4| | | | | |31.92|1237|"71  6  6"
53469|NGC5832|10.00| |110.1028|42.1578|43.7012|24.2953|451|615|673|6.84|6.53|4.27|4| | | | | |30.08|826|"44  0  0"
53486|UGC09638|33.60|7.0|97.1166|51.4306|57.0018|29.1096|2275|2423|2467|15.98|24.60|16.33|3| | | |32.63|0.41| |751|"42  9  9"
53499|NGC5792|21.00| |355.3530|48.4268|126.8211|29.2259|1930|1929|1890|-10.88|14.53|10.15|4| | | | | |31.59|673|"41  2  1"
53500|ESO273-014|4.39|0.86|324.0128|9.9047|170.8034|7.5967|1052|926|846|-4.29|0.69|0.58|3| | | |28.21|0.39| |319|"16  0  0"
53519|ESO513-010|25.00| |335.5572|28.5351|151.9559|18.9732|2633|2559|2493|-21.16|11.27|8.24|4| | | | | |32.02|703|"41 11 11"
53527|NGC5786|23.10|4.8|326.8813|14.8535|166.0269|10.7759|2998|2885|2807|-22.04|5.49|4.32|3| | | |31.82|0.41| |462|"23  6  6"
53535|ESO327-039|23.10|4.8|326.6089|14.3491|166.5211|10.4792|2917|2802|2725|-22.11|5.30|4.21|3| | | |31.82|0.41| |462|"23  6  6"
53549|NGC5796|30.00| |342.0076|36.3583|142.9669|23.5120|2946|2899|2842|-21.90|16.53|11.94|4| | | | | |32.38|710|"41 15 15"
53578|NGC5806|26.20|1.5|359.0909|50.1942|123.6937|30.5323|1359|1368|1333|-12.51|18.76|13.30|3| | | |32.09|0.12| |668|"41 -1  1"
53595|PGC053595|30.00| |344.5633|38.6784|140.0376|25.0486|2788|2751|2698|-20.78|17.41|12.67|4| | | | | |32.38|711|"41 15 15"
53622|UGC09657|32.70|4.0|81.9484|57.1797|68.6303|32.4156|2526|2657|2687|10.05|25.67|17.51|3| | | |32.57|0.25| |737|"42  5  3"
53630|NGC5812|26.90|2.7|349.7993|43.3247|133.8576|27.5987|1899|1880|1834|-16.53|17.20|12.47|2| | |32.15| | | |689|"41  0  1"
53639|ESO223-009|6.03|0.30|324.1175|9.1726|171.5484|7.6334|586|460|380|-5.91|0.88|0.80|1|28.90|0.10| | | | |242|"14-16 15"
53643|NGC5813|32.20|3.2|359.1814|49.8487|124.0055|30.7577|1959|1968|1933|-15.48|22.95|16.47|2| | |32.54| | | |668|"41 -1  1"
53644|UGC09663|38.20|7.9|88.3781|54.9282|63.7849|31.4037|2422|2561|2597|14.40|29.25|19.90|3| | | |32.91|0.41| |736|"42 -5  3"
53657|UGC09665|32.70|4.0|81.7754|57.0927|68.6444|32.5431|2558|2689|2720|10.03|25.64|17.57|3| | | |32.57|0.25| |737|"42  5  3"
53743|ESO008-007|32.20|6.7|307.1291|-21.0264|200.2215|-11.7966|2517|2347|2269|-29.59|-10.90|-6.58|3| | | |32.54|0.41| |1038|"55  0  0"
53770|NGC5831|27.20|2.7|359.3882|48.9823|124.7990|31.3112|1667|1677|1642|-13.24|19.06|14.12|2| | |32.17| | | |668|"41 -1  1"
53861|UGC09703|32.70|4.0|78.3351|57.2845|70.4992|33.5897|2471|2601|2629|9.08|25.64|18.07|3| | | |32.57|0.25| |737|"42  5  3"
53862|NGC5838|26.20|1.5|0.7259|49.3187|123.9322|31.8889|1363|1376|1343|-12.41|18.45|13.83|3| | | |32.09|0.12| |668|"41 -1  1"
53865|NGC5839|22.60|2.3|0.2003|49.0089|124.4539|31.7564|1225|1237|1203|-10.87|15.84|11.89|2| | |31.77| | | |668|"41 -1  1"
53901|NGC5845|25.90|2.6|0.3396|48.9042|124.5041|31.8888|1456|1468|1434|-12.48|18.15|13.70|2| | |32.07| | | |668|"41 -1  1"
53930|NGC5846A|26.20|1.5|0.4145|48.7903|124.5890|31.9897|2192|2204|2170|-12.61|18.28|13.87|3| | | |32.09|0.12| |668|"41 -1  1"
53932|NGC5846|24.90|2.5|0.4256|48.7970|124.5779|31.9926|1709|1721|1687|-11.98|17.38|13.19|2| | |31.98| | | |668|"41 -1  1"
53933|NGC5866|14.50|1.5|92.0340|52.4892|59.9788|31.1829|672|819|859|6.22|10.76|7.52|2| | |30.93| | | |811|"44 -1  1"
